"topic","difficulty","type","points","prompt","optionA","optionB","optionC","optionD","correctAnswer","modelAnswer"
"Programming","Easy","MCQ","2","Which keyword is used to define a constant value in C#?","const","static","readonly","fixed","const",""
"SQL Practice","Easy","MCQ","2","What does SQL SELECT return?","A table result set","Only one number","Only deleted rows","A compiled class","A table result set",""
"Security","Medium","Text","5","Explain the difference between authentication and authorization in an online exam system.","","","","","","Authentication verifies identity; authorization checks what the verified user is allowed to access."
"Programming","Medium","CSharp","8","Write a C# method that returns true when a student score is 50 or higher.","","","","","","bool IsPassing(int score) => score >= 50;"
"SQL Practice","Medium","SQL","8","Write a SQL query that returns all exams with Status equal to Published.","","","","","","SELECT * FROM Exams WHERE Status = 'Published';"
"Web APIs","Easy","MCQ","2","Which HTTP status code usually means Unauthorized?","200","201","401","500","401",""
"Data Structures","Easy","MCQ","2","Which data structure is FIFO?","Stack","Queue","Tree","HashSet","Queue",""
"Exam Workflow","Medium","Text","5","Describe why autosave is important during an online exam attempt.","","","","","","Autosave reduces the risk of losing student answers during network issues, browser crashes, or accidental refreshes."
"Programming","Medium","CSharp","8","Write a C# LINQ expression that filters active users from a users collection.","","","","","","var activeUsers = users.Where(user => user.IsActive);"
"SQL Practice","Medium","SQL","8","Write a SQL query that counts submitted attempts for a given ExamId.","","","","","","SELECT COUNT(*) FROM Attempts WHERE ExamId = @ExamId AND SubmittedAt IS NOT NULL;"
"React","Easy","MCQ","2","In React, which hook is commonly used for component state?","useMemo","useEffect","useState","useRef","useState",""
"Databases","Easy","MCQ","2","What is the main purpose of a foreign key?","Encrypt a password","Link records between tables","Create a UI route","Compress images","Link records between tables",""
"Validation","Medium","Text","5","Explain what input validation should do before saving an exam question.","","","","","","It should check required fields, valid question type, positive points, complete MCQ options, and a correct answer where needed."
"Programming","Hard","CSharp","8","Write a C# statement that throws an ArgumentException when points are less than or equal to zero.","","","","","","if (points <= 0) throw new ArgumentException(""Points must be positive."");"
"SQL Practice","Easy","SQL","8","Write a SQL query that returns students ordered by last name and first name.","","","","","","SELECT * FROM Students ORDER BY LastName, FirstName;"
"Databases","Medium","MCQ","2","Which option best describes a transaction in a database?","A group of operations treated as one unit","A CSS animation","A browser cookie","A password reset email","A group of operations treated as one unit",""
"Programming","Easy","MCQ","2","Which C# collection stores unique values?","List<T>","Queue<T>","HashSet<T>","StringBuilder","HashSet<T>",""
"Academic Dashboard","Medium","Text","5","Explain why role-based access control matters in an academic dashboard.","","","","","","It ensures students, professors, assistants, and admins only see and perform actions appropriate to their responsibilities."
"Programming","Medium","CSharp","8","Write a C# method that calculates the average score from a list of integers.","","","","","","double AverageScore(List<int> scores) => scores.Count == 0 ? 0 : scores.Average();"
"SQL Practice","Medium","SQL","8","Write a SQL query that returns exams starting after the current date.","","","","","","SELECT * FROM Exams WHERE StartsAt > CURRENT_TIMESTAMP;"
"SQL Practice","Medium","MCQ","2","Which SQL clause filters grouped aggregate results?","WHERE","GROUP BY","HAVING","ORDER BY","HAVING",""
"Web APIs","Easy","MCQ","2","What does API stand for?","Academic Program Index","Application Programming Interface","Automated Page Import","Applied Protocol Instance","Application Programming Interface",""
"Question Bank UX","Easy","Text","5","Describe a good empty state for a question bank with no questions.","","","","","","It should clearly say there are no questions yet and guide the professor to create or import the first question."
"Programming","Medium","CSharp","8","Write a C# expression that maps attempts to their scores using LINQ.","","","","","","var scores = attempts.Select(attempt => attempt.Score);"
"SQL Practice","Hard","SQL","8","Write a SQL query that joins Attempts with Users to show student names and scores.","","","","","","SELECT u.FullName, a.Score FROM Attempts a JOIN Users u ON u.Id = a.UserId;"
"Accessibility","Easy","MCQ","2","Which accessibility attribute labels a button when it has only an icon?","aria-label","data-id","href","src","aria-label",""
"Security","Medium","MCQ","2","Which option is the safest way to store user passwords?","Plain text","Base64 encoding","Salted password hashing","CSV file","Salted password hashing",""
"Exam Integrity","Hard","Text","5","Explain what should happen when a student violates secure exam rules repeatedly.","","","","","","The system should record violations, warn or lock the attempt according to policy, and make the event visible for staff review."
"Programming","Hard","CSharp","8","Write a C# condition that checks whether an attempt is submitted and has no violations.","","","","","","if (attempt.SubmittedAt != null && attempt.Violations.Count == 0) { /* valid */ }"
"SQL Practice","Hard","SQL","8","Write a SQL query that returns average score per exam.","","","","","","SELECT ExamId, AVG(Score) AS AverageScore FROM Attempts WHERE Score IS NOT NULL GROUP BY ExamId;"
